season_year,player_name,source
1990,Los Angeles Lakers,en.wikipedia
1990,Utah Jazz,en.wikipedia
1990,Houston Rockets,en.wikipedia
1990,San Antonio Spurs,en.wikipedia
1990,Denver Nuggets,en.wikipedia
1990,Phoenix Suns,en.wikipedia
1990,Dallas Mavericks,en.wikipedia
1990,Portland Trail Blazers,en.wikipedia
1990,Golden State Warriors,en.wikipedia
1990,Detroit Pistons,en.wikipedia
1990,Chicago Bulls,en.wikipedia
1990,Boston Celtics,en.wikipedia
1990,Philadelphia 76ers,en.wikipedia
1990,New York Knicks,en.wikipedia
1990,Atlanta Hawks,en.wikipedia
1990,Indiana Pacers,en.wikipedia
1992,Chicago Bulls,en.wikipedia
1992,Detroit Pistons,en.wikipedia
1992,Boston Celtics,en.wikipedia
1992,Philadelphia 76ers,en.wikipedia
1992,New York Knicks,en.wikipedia
1992,Washington Bullets,en.wikipedia
1992,Cleveland Cavaliers,en.wikipedia
1992,Atlanta Hawks,en.wikipedia
1992,Golden State Warriors,en.wikipedia
1992,Portland Trail Blazers,en.wikipedia
1992,Utah Jazz,en.wikipedia
1992,San Antonio Spurs,en.wikipedia
1992,Phoenix Suns,en.wikipedia
1992,Denver Nuggets,en.wikipedia
1992,Houston Rockets,en.wikipedia
1992,Los Angeles Lakers,en.wikipedia
1993,Phoenix Suns,en.wikipedia
1993,Utah Jazz,en.wikipedia
1993,Portland Trail Blazers,en.wikipedia
1993,San Antonio Spurs,en.wikipedia
1993,Golden State Warriors,en.wikipedia
1993,Seattle SuperSonics,en.wikipedia
1993,Los Angeles Clippers,en.wikipedia
1993,Houston Rockets,en.wikipedia
1993,Sacramento Kings,en.wikipedia
1993,New York Knicks,en.wikipedia
1993,Detroit Pistons,en.wikipedia
1993,Chicago Bulls,en.wikipedia
1993,Charlotte Hornets,en.wikipedia
1993,Orlando Magic,en.wikipedia
1993,Cleveland Cavaliers,en.wikipedia
1993,Indiana Pacers,en.wikipedia
1993,Atlanta Hawks,en.wikipedia
1994,B. J. Armstrong,en.wikipedia
1994,Kenny Anderson,en.wikipedia
1994,Scottie Pippen,en.wikipedia
1994,Derrick Coleman,en.wikipedia
1994,Shaquille O'Neal,en.wikipedia
1994,Mookie Blaylock,en.wikipedia
1994,Patrick Ewing,en.wikipedia
1994,Horace Grant,en.wikipedia
1994,Alonzo Mourning,en.wikipedia
1994,Charles Oakley,en.wikipedia
1994,Mark Price,en.wikipedia
1994,John Starks,en.wikipedia
1994,Dominique Wilkins,en.wikipedia
1994,Mitch Richmond,en.wikipedia
1994,Clyde Drexler,en.wikipedia
1994,Charles Barkley,en.wikipedia
1994,Shawn Kemp,en.wikipedia
1994,Hakeem Olajuwon,en.wikipedia
1994,Kevin Johnson,en.wikipedia
1994,Karl Malone,en.wikipedia
1994,Danny Manning,en.wikipedia
1994,Gary Payton,en.wikipedia
1994,Clifford Robinson,en.wikipedia
1994,David Robinson,en.wikipedia
1994,Latrell Sprewell,en.wikipedia
1994,John Stockton,en.wikipedia
1995,Latrell Sprewell,en.wikipedia
1995,Dan Majerle,en.wikipedia
1995,Charles Barkley,en.wikipedia
1995,Shawn Kemp,en.wikipedia
1995,Hakeem Olajuwon,en.wikipedia
1995,Cedric Ceballos,en.wikipedia
1995,Karl Malone,en.wikipedia
1995,Dikembe Mutombo,en.wikipedia
1995,Gary Payton,en.wikipedia
1995,Mitch Richmond,en.wikipedia
1995,David Robinson,en.wikipedia
1995,Detlef Schrempf,en.wikipedia
1995,John Stockton,en.wikipedia
1995,Penny Hardaway,en.wikipedia
1995,Reggie Miller,en.wikipedia
1995,Scottie Pippen,en.wikipedia
1995,Grant Hill,en.wikipedia
1995,Shaquille O'Neal,en.wikipedia
1995,Vin Baker,en.wikipedia
1995,Dana Barros,en.wikipedia
1995,Joe Dumars,en.wikipedia
1995,Patrick Ewing,en.wikipedia
1995,Tyrone Hill,en.wikipedia
1995,Larry Johnson,en.wikipedia
1995,Alonzo Mourning,en.wikipedia
1996,Penny Hardaway,en.wikipedia
1996,Michael Jordan,en.wikipedia
1996,Scottie Pippen,en.wikipedia
1996,Grant Hill,en.wikipedia
1996,Shaquille O'Neal,en.wikipedia
1996,Vin Baker,en.wikipedia
1996,Terrell Brandon,en.wikipedia
1996,Patrick Ewing,en.wikipedia
1996,Juwan Howard,en.wikipedia
1996,Reggie Miller,en.wikipedia
1996,Alonzo Mourning,en.wikipedia
1996,Glen Rice,en.wikipedia
1996,Jason Kidd,en.wikipedia
1996,Clyde Drexler,en.wikipedia
1996,Charles Barkley,en.wikipedia
1996,Shawn Kemp,en.wikipedia
1996,Hakeem Olajuwon,en.wikipedia
1996,Sean Elliott,en.wikipedia
1996,Karl Malone,en.wikipedia
1996,Dikembe Mutombo,en.wikipedia
1996,Gary Payton,en.wikipedia
1996,Mitch Richmond,en.wikipedia
1996,David Robinson,en.wikipedia
1996,John Stockton,en.wikipedia
1997,Gary Payton,en.wikipedia
1997,John Stockton,en.wikipedia
1997,Charles Barkley,en.wikipedia
1997,Shawn Kemp,en.wikipedia
1997,Hakeem Olajuwon,en.wikipedia
1997,Clyde Drexler,en.wikipedia
1997,Kevin Garnett,en.wikipedia
1997,Chris Gatling,en.wikipedia
1997,Tom Gugliotta,en.wikipedia
1997,Eddie Jones,en.wikipedia
1997,Karl Malone,en.wikipedia
1997,Shaquille O'Neal,en.wikipedia
1997,Mitch Richmond,en.wikipedia
1997,Detlef Schrempf,en.wikipedia
1997,Latrell Sprewell,en.wikipedia
1997,Penny Hardaway,en.wikipedia
1997,Michael Jordan,en.wikipedia
1997,Scottie Pippen,en.wikipedia
1997,Grant Hill,en.wikipedia
1997,Patrick Ewing,en.wikipedia
1997,Vin Baker,en.wikipedia
1997,Terrell Brandon,en.wikipedia
1997,Joe Dumars,en.wikipedia
1997,Tim Hardaway,en.wikipedia
1997,Christian Laettner,en.wikipedia
1997,Alonzo Mourning,en.wikipedia
1997,Dikembe Mutombo,en.wikipedia
1997,Glen Rice,en.wikipedia
1997,Chris Webber,en.wikipedia
1998,Gary Payton,en.wikipedia
1998,Kobe Bryant,en.wikipedia
1998,Kevin Garnett,en.wikipedia
1998,Karl Malone,en.wikipedia
1998,Shaquille O'Neal,en.wikipedia
1998,Jason Kidd,en.wikipedia
1998,Eddie Jones,en.wikipedia
1998,Nick Van Exel,en.wikipedia
1998,Mitch Richmond,en.wikipedia
1998,Tim Duncan,en.wikipedia
1998,Vin Baker,en.wikipedia
1998,David Robinson,en.wikipedia
1998,Penny Hardaway,en.wikipedia
1998,Michael Jordan,en.wikipedia
1998,Grant Hill,en.wikipedia
1998,Shawn Kemp,en.wikipedia
1998,Dikembe Mutombo,en.wikipedia
1998,Tim Hardaway,en.wikipedia
1998,Reggie Miller,en.wikipedia
1998,Steve Smith,en.wikipedia
1998,Glen Rice,en.wikipedia
1998,Antoine Walker,en.wikipedia
1998,Jayson Williams,en.wikipedia
1998,Rik Smits,en.wikipedia
2000,Jason Kidd,en.wikipedia
2000,Kobe Bryant,en.wikipedia
2000,Kevin Garnett,en.wikipedia
2000,Tim Duncan,en.wikipedia
2000,Shaquille O'Neal,en.wikipedia
2000,Michael Finley,en.wikipedia
2000,Gary Payton,en.wikipedia
2000,John Stockton,en.wikipedia
2000,Karl Malone,en.wikipedia
2000,Rasheed Wallace,en.wikipedia
2000,Chris Webber,en.wikipedia
2000,David Robinson,en.wikipedia
2000,Allen Iverson,en.wikipedia
2000,Eddie Jones,en.wikipedia
2000,Vince Carter,en.wikipedia
2000,Grant Hill,en.wikipedia
2000,Alonzo Mourning,en.wikipedia
2000,Ray Allen,en.wikipedia
2000,Allan Houston,en.wikipedia
2000,Reggie Miller,en.wikipedia
2000,Jerry Stackhouse,en.wikipedia
2000,Dale Davis,en.wikipedia
2000,Glenn Robinson,en.wikipedia
2000,Dikembe Mutombo,en.wikipedia
2001,Allen Iverson,en.wikipedia
2001,Tracy McGrady,en.wikipedia
2001,Vince Carter,en.wikipedia
2001,Grant Hill,en.wikipedia
2001,Alonzo Mourning,en.wikipedia
2001,Ray Allen,en.wikipedia
2001,Allan Houston,en.wikipedia
2001,Stephon Marbury,en.wikipedia
2001,Jerry Stackhouse,en.wikipedia
2001,Anthony Mason,en.wikipedia
2001,Glenn Robinson,en.wikipedia
2001,Latrell Sprewell,en.wikipedia
2001,Antonio Davis,en.wikipedia
2001,Dikembe Mutombo,en.wikipedia
2001,Theo Ratliff,en.wikipedia
2001,Jason Kidd,en.wikipedia
2001,Kobe Bryant,en.wikipedia
2001,Chris Webber,en.wikipedia
2001,Tim Duncan,en.wikipedia
2001,Shaquille O'Neal,en.wikipedia
2001,Michael Finley,en.wikipedia
2001,Gary Payton,en.wikipedia
2001,Kevin Garnett,en.wikipedia
2001,Karl Malone,en.wikipedia
2001,Antonio McDyess,en.wikipedia
2001,Rasheed Wallace,en.wikipedia
2001,David Robinson,en.wikipedia
2001,Vlade Divac,en.wikipedia
2002,Allen Iverson,en.wikipedia
2002,Michael Jordan,en.wikipedia
2002,Vince Carter,en.wikipedia
2002,Antoine Walker,en.wikipedia
2002,Dikembe Mutombo,en.wikipedia
2002,Ray Allen,en.wikipedia
2002,Baron Davis,en.wikipedia
2002,Jason Kidd,en.wikipedia
2002,Tracy McGrady,en.wikipedia
2002,Paul Pierce,en.wikipedia
2002,Shareef Abdur-Rahim,en.wikipedia
2002,Jermaine O'Neal,en.wikipedia
2002,Alonzo Mourning,en.wikipedia
2002,Steve Francis,en.wikipedia
2002,Kobe Bryant,en.wikipedia
2002,Kevin Garnett,en.wikipedia
2002,Tim Duncan,en.wikipedia
2002,Shaquille O'Neal,en.wikipedia
2002,Steve Nash,en.wikipedia
2002,Gary Payton,en.wikipedia
2002,Elton Brand,en.wikipedia
2002,Karl Malone,en.wikipedia
2002,Dirk Nowitzki,en.wikipedia
2002,Peja Stojaković,en.wikipedia
2002,Wally Szczerbiak,en.wikipedia
2002,Chris Webber,en.wikipedia
2003,Steve Francis,en.wikipedia
2003,Kobe Bryant,en.wikipedia
2003,Kevin Garnett,en.wikipedia
2003,Tim Duncan,en.wikipedia
2003,Yao Ming,en.wikipedia
2003,Stephon Marbury,en.wikipedia
2003,Steve Nash,en.wikipedia
2003,Gary Payton,en.wikipedia
2003,Shawn Marion,en.wikipedia
2003,Dirk Nowitzki,en.wikipedia
2003,Peja Stojaković,en.wikipedia
2003,Chris Webber,en.wikipedia
2003,Shaquille O'Neal,en.wikipedia
2003,Allen Iverson,en.wikipedia
2003,Tracy McGrady,en.wikipedia
2003,Vince Carter,en.wikipedia
2003,Jermaine O'Neal,en.wikipedia
2003,Ben Wallace,en.wikipedia
2003,Michael Jordan,en.wikipedia
2003,Jason Kidd,en.wikipedia
2003,Paul Pierce,en.wikipedia
2003,Jamal Mashburn,en.wikipedia
2003,Antoine Walker,en.wikipedia
2003,Žydrūnas Ilgauskas,en.wikipedia
2003,Brad Miller,en.wikipedia
2004,Allen Iverson,en.wikipedia
2004,Tracy McGrady,en.wikipedia
2004,Vince Carter,en.wikipedia
2004,Jermaine O'Neal,en.wikipedia
2004,Ben Wallace,en.wikipedia
2004,Baron Davis,en.wikipedia
2004,Jason Kidd,en.wikipedia
2004,Michael Redd,en.wikipedia
2004,Paul Pierce,en.wikipedia
2004,Ron Artest,en.wikipedia
2004,Kenyon Martin,en.wikipedia
2004,Jamaal Magloire,en.wikipedia
2004,Steve Francis,en.wikipedia
2004,Kobe Bryant,en.wikipedia
2004,Kevin Garnett,en.wikipedia
2004,Tim Duncan,en.wikipedia
2004,Yao Ming,en.wikipedia
2004,Ray Allen,en.wikipedia
2004,Sam Cassell,en.wikipedia
2004,Andrei Kirilenko,en.wikipedia
2004,Dirk Nowitzki,en.wikipedia
2004,Peja Stojaković,en.wikipedia
2004,Brad Miller,en.wikipedia
2004,Shaquille O'Neal,en.wikipedia
2005,Kobe Bryant,en.wikipedia
2005,Tracy McGrady,en.wikipedia
2005,Kevin Garnett,en.wikipedia
2005,Tim Duncan,en.wikipedia
2005,Yao Ming,en.wikipedia
2005,Ray Allen,en.wikipedia
2005,Manu Ginóbili,en.wikipedia
2005,Steve Nash,en.wikipedia
2005,Rashard Lewis,en.wikipedia
2005,Shawn Marion,en.wikipedia
2005,Dirk Nowitzki,en.wikipedia
2005,Amar'e Stoudemire,en.wikipedia
2005,Allen Iverson,en.wikipedia
2005,Vince Carter,en.wikipedia
2005,LeBron James,en.wikipedia
2005,Grant Hill,en.wikipedia
2005,Shaquille O'Neal,en.wikipedia
2005,Gilbert Arenas,en.wikipedia
2005,Dwyane Wade,en.wikipedia
2005,Paul Pierce,en.wikipedia
2005,Antawn Jamison,en.wikipedia
2005,Jermaine O'Neal,en.wikipedia
2005,Zydrunas Ilgauskas,en.wikipedia
2005,Ben Wallace,en.wikipedia
2006,Philadelphia 76ers,en.wikipedia
2006,Miami Heat,en.wikipedia
2006,Cleveland Cavaliers,en.wikipedia
2006,Indiana Pacers,en.wikipedia
2006,Washington Wizards,en.wikipedia
2006,Detroit Pistons,en.wikipedia
2006,New Jersey Nets,en.wikipedia
2006,Toronto Raptors,en.wikipedia
2006,Boston Celtics,en.wikipedia
2006,Phoenix Suns,en.wikipedia
2006,Los Angeles Lakers,en.wikipedia
2006,Houston Rockets,en.wikipedia
2006,San Antonio Spurs,en.wikipedia
2006,Seattle SuperSonics,en.wikipedia
2006,Los Angeles Clippers,en.wikipedia
2006,Minnesota Timberwolves,en.wikipedia
2006,Memphis Grizzlies,en.wikipedia
2006,Dallas Mavericks,en.wikipedia
2007,Los Angeles Lakers,en.wikipedia
2007,Houston Rockets,en.wikipedia
2007,Minnesota Timberwolves,en.wikipedia
2007,San Antonio Spurs,en.wikipedia
2007,Seattle SuperSonics,en.wikipedia
2007,Denver Nuggets,en.wikipedia
2007,Utah Jazz,en.wikipedia
2007,Dallas Mavericks,en.wikipedia
2007,Phoenix Suns,en.wikipedia
2007,Washington Wizards,en.wikipedia
2007,Miami Heat,en.wikipedia
2007,Cleveland Cavaliers,en.wikipedia
2007,Toronto Raptors,en.wikipedia
2007,Detroit Pistons,en.wikipedia
2007,New Jersey Nets,en.wikipedia
2007,Orlando Magic,en.wikipedia
2007,Atlanta Hawks,en.wikipedia
2007,Indiana Pacers,en.wikipedia
2008,New Jersey Nets,en.wikipedia
2008,Miami Heat,en.wikipedia
2008,Cleveland Cavaliers,en.wikipedia
2008,Boston Celtics,en.wikipedia
2008,Orlando Magic,en.wikipedia
2008,Detroit Pistons,en.wikipedia
2008,Washington Wizards,en.wikipedia
