season_year,player_name,source
2008,Toronto Raptors,en.wikipedia
2008,Atlanta Hawks,en.wikipedia
2008,Denver Nuggets,en.wikipedia
2008,Los Angeles Lakers,en.wikipedia
2008,San Antonio Spurs,en.wikipedia
2008,Houston Rockets,en.wikipedia
2008,Utah Jazz,en.wikipedia
2008,Phoenix Suns,en.wikipedia
2008,Dallas Mavericks,en.wikipedia
2008,New Orleans Hornets,en.wikipedia
2008,Portland Trail Blazers,en.wikipedia
2009,Detroit Pistons,en.wikipedia
2009,Miami Heat,en.wikipedia
2009,Cleveland Cavaliers,en.wikipedia
2009,Boston Celtics,en.wikipedia
2009,Orlando Magic,en.wikipedia
2009,New Jersey Nets,en.wikipedia
2009,Atlanta Hawks,en.wikipedia
2009,Indiana Pacers,en.wikipedia
2009,Toronto Raptors,en.wikipedia
2009,New Orleans Hornets,en.wikipedia
2009,Los Angeles Lakers,en.wikipedia
2009,Phoenix Suns,en.wikipedia
2009,San Antonio Spurs,en.wikipedia
2009,Houston Rockets,en.wikipedia
2009,Denver Nuggets,en.wikipedia
2009,Portland Trail Blazers,en.wikipedia
2009,Dallas Mavericks,en.wikipedia
2010,Phoenix Suns,en.wikipedia
2010,Los Angeles Lakers,en.wikipedia
2010,Denver Nuggets,en.wikipedia
2010,San Antonio Spurs,en.wikipedia
2010,Dallas Mavericks,en.wikipedia
2010,New Orleans Hornets,en.wikipedia
2010,Portland Trail Blazers,en.wikipedia
2010,Utah Jazz,en.wikipedia
2010,Oklahoma City Thunder,en.wikipedia
2010,Memphis Grizzlies,en.wikipedia
2010,Los Angeles Clippers,en.wikipedia
2010,Rio Grande Valley Vipers,en.wikipedia
2010,Bakersfield Jam,en.wikipedia
2010,Los Angeles D-Fenders,en.wikipedia
2010,Reno Bighorns,en.wikipedia
2010,Idaho Stampede,en.wikipedia
2010,Austin Toros,en.wikipedia
2010,Utah Flash,en.wikipedia
2010,Albuquerque Thunderbirds,en.wikipedia
2010,Tulsa 66ers,en.wikipedia
2011,New Orleans Hornets,en.wikipedia
2011,Los Angeles Lakers,en.wikipedia
2011,Denver Nuggets,en.wikipedia
2011,Oklahoma City Thunder,en.wikipedia
2011,Houston Rockets,en.wikipedia
2011,San Antonio Spurs,en.wikipedia
2011,Los Angeles Clippers,en.wikipedia
2011,Minnesota Timberwolves,en.wikipedia
2011,Dallas Mavericks,en.wikipedia
2011,Utah Jazz,en.wikipedia
2011,Rio Grande Valley Vipers,en.wikipedia
2011,Texas Legends,en.wikipedia
2011,Austin Toros,en.wikipedia
2011,Tulsa 66ers,en.wikipedia
2011,New Mexico Thunderbirds,en.wikipedia
2011,Utah Flash,en.wikipedia
2011,Idaho Stampede,en.wikipedia
2011,Bakersfield Jam,en.wikipedia
2011,Reno Bighorns,en.wikipedia
2012,Derrick Rose,en.wikipedia
2012,Dwyane Wade,en.wikipedia
2012,LeBron James,en.wikipedia
2012,Carmelo Anthony,en.wikipedia
2012,Dwight Howard,en.wikipedia
2012,Chris Bosh,en.wikipedia
2012,Luol Deng,en.wikipedia
2012,Roy Hibbert,en.wikipedia
2012,Andre Iguodala,en.wikipedia
2012,Joe Johnson,en.wikipedia
2012,Paul Pierce,en.wikipedia
2012,Rajon Rondo,en.wikipedia
2012,Deron Williams,en.wikipedia
2013,Rajon Rondo,en.wikipedia
2013,Dwyane Wade,en.wikipedia
2013,LeBron James,en.wikipedia
2013,Carmelo Anthony,en.wikipedia
2013,Kevin Garnett,en.wikipedia
2013,Chris Bosh,en.wikipedia
2013,Tyson Chandler,en.wikipedia
2013,Luol Deng,en.wikipedia
2013,Paul George,en.wikipedia
2013,Jrue Holiday,en.wikipedia
2013,Kyrie Irving,en.wikipedia
2013,Joakim Noah,en.wikipedia
2013,Brook Lopez,en.wikipedia
2013,Chris Paul,en.wikipedia
2013,Kobe Bryant,en.wikipedia
2013,Kevin Durant,en.wikipedia
2013,Blake Griffin,en.wikipedia
2013,Dwight Howard,en.wikipedia
2013,LaMarcus Aldridge,en.wikipedia
2013,Tim Duncan,en.wikipedia
2013,James Harden,en.wikipedia
2013,David Lee,en.wikipedia
2013,Tony Parker,en.wikipedia
2013,Zach Randolph,en.wikipedia
2013,Russell Westbrook,en.wikipedia
2014,Stephen Curry,en.wikipedia
2014,Kobe Bryant,en.wikipedia
2014,Kevin Durant,en.wikipedia
2014,Blake Griffin,en.wikipedia
2014,Kevin Love,en.wikipedia
2014,Dwight Howard,en.wikipedia
2014,LaMarcus Aldridge,en.wikipedia
2014,Dirk Nowitzki,en.wikipedia
2014,Chris Paul,en.wikipedia
2014,James Harden,en.wikipedia
2014,Tony Parker,en.wikipedia
2014,Damian Lillard,en.wikipedia
2014,Anthony Davis,en.wikipedia
2014,Dwyane Wade,en.wikipedia
2014,Kyrie Irving,en.wikipedia
2014,LeBron James,en.wikipedia
2014,Paul George,en.wikipedia
2014,Carmelo Anthony,en.wikipedia
2014,Joakim Noah,en.wikipedia
2014,Roy Hibbert,en.wikipedia
2014,Chris Bosh,en.wikipedia
2014,Paul Millsap,en.wikipedia
2014,John Wall,en.wikipedia
2014,Joe Johnson,en.wikipedia
2014,DeMar DeRozan,en.wikipedia
2015,Oklahoma City Thunder,en.wikipedia
2015,Milwaukee Bucks,en.wikipedia
2015,Brooklyn Nets,en.wikipedia
2015,Minnesota Timberwolves,en.wikipedia
2015,Utah Jazz,en.wikipedia
2015,Chicago Bulls,en.wikipedia
2015,Boston Celtics,en.wikipedia
2015,Atlanta Hawks,en.wikipedia
2015,Denver Nuggets,en.wikipedia
2015,Cleveland Cavaliers,en.wikipedia
2015,Houston Rockets,en.wikipedia
2015,Stephen Curry,en.wikipedia
2015,Kobe Bryant,en.wikipedia
2015,Anthony Davis,en.wikipedia
2015,Marc Gasol,en.wikipedia
2015,Blake Griffin,en.wikipedia
2015,LaMarcus Aldridge,en.wikipedia
2015,Tim Duncan,en.wikipedia
2015,Kevin Durant,en.wikipedia
2015,Klay Thompson,en.wikipedia
2015,Russell Westbrook,en.wikipedia
2015,James Harden,en.wikipedia
2015,Chris Paul,en.wikipedia
2015,DeMarcus Cousins,en.wikipedia
2015,Damian Lillard,en.wikipedia
2015,Dirk Nowitzki,en.wikipedia
2016,Brooklyn Nets,en.wikipedia
2016,Houston Rockets,en.wikipedia
2016,Orlando Magic,en.wikipedia
2016,Denver Nuggets,en.wikipedia
2016,Chicago Bulls,en.wikipedia
2016,Utah Jazz,en.wikipedia
2016,New York Knicks,en.wikipedia
2016,Dallas Mavericks,en.wikipedia
2016,Minnesota Timberwolves,en.wikipedia
2016,Dwyane Wade,en.wikipedia
2016,Kyle Lowry,en.wikipedia
2016,LeBron James,en.wikipedia
2016,Paul George,en.wikipedia
2016,Carmelo Anthony,en.wikipedia
2016,Jimmy Butler,en.wikipedia
2016,Chris Bosh,en.wikipedia
2016,John Wall,en.wikipedia
2016,Paul Millsap,en.wikipedia
2016,DeMar DeRozan,en.wikipedia
2016,Andre Drummond,en.wikipedia
2016,Isaiah Thomas,en.wikipedia
2016,Pau Gasol,en.wikipedia
2016,Al Horford,en.wikipedia
2017,Philadelphia 76ers,en.wikipedia
2017,Utah Jazz,en.wikipedia
2017,New Orleans Pelicans,en.wikipedia
2017,Denver Nuggets,en.wikipedia
2017,New York Knicks,en.wikipedia
2017,Oklahoma City Thunder,en.wikipedia
2017,Kyrie Irving,en.wikipedia
2017,DeMar DeRozan,en.wikipedia
2017,LeBron James,en.wikipedia
2017,Jimmy Butler,en.wikipedia
2017,Giannis Antetokounmpo,en.wikipedia
2017,Isaiah Thomas,en.wikipedia
2017,John Wall,en.wikipedia
2017,Kevin Love,en.wikipedia
2017,Carmelo Anthony,en.wikipedia
2017,Kyle Lowry,en.wikipedia
2017,Paul George,en.wikipedia
2017,Kemba Walker,en.wikipedia
2017,Paul Millsap,en.wikipedia
2018,Kevin Durant,en.wikipedia
2018,Anthony Davis,en.wikipedia
2018,LeBron James,en.wikipedia
2018,DeMarcus Cousins,en.wikipedia
2018,Kyrie Irving,en.wikipedia
2018,LaMarcus Aldridge,en.wikipedia
2018,Bradley Beal,en.wikipedia
2018,Kevin Love,en.wikipedia
2018,Russell Westbrook,en.wikipedia
2018,Victor Oladipo,en.wikipedia
2018,Kristaps Porziņģis,en.wikipedia
2018,John Wall,en.wikipedia
2018,Paul George,en.wikipedia
2018,Andre Drummond,en.wikipedia
2018,Goran Dragić,en.wikipedia
2018,Kemba Walker,en.wikipedia
2018,Sacramento Kings,en.wikipedia
2018,Memphis Grizzlies,en.wikipedia
2018,Philadelphia 76ers,en.wikipedia
2018,Chicago Bulls,en.wikipedia
2018,Denver Nuggets,en.wikipedia
2018,New York Knicks,en.wikipedia
2018,Indiana Pacers,en.wikipedia
2019,Toronto Raptors,en.wikipedia
2019,Phoenix Suns,en.wikipedia
2019,Sacramento Kings,en.wikipedia
2019,Dallas Mavericks,en.wikipedia
2019,Los Angeles Clippers,en.wikipedia
2019,Brooklyn Nets,en.wikipedia
2019,Chicago Bulls,en.wikipedia
2019,Minnesota Timberwolves,en.wikipedia
2019,Cleveland Cavaliers,en.wikipedia
2019,Philadelphia 76ers,en.wikipedia
2019,Kemba Walker,en.wikipedia
2019,Kyrie Irving,en.wikipedia
2019,Kawhi Leonard,en.wikipedia
2019,Giannis Antetokounmpo,en.wikipedia
2019,Joel Embiid,en.wikipedia
2019,Kyle Lowry,en.wikipedia
2019,Victor Oladipo,en.wikipedia
2019,Khris Middleton,en.wikipedia
2019,Bradley Beal,en.wikipedia
2019,Ben Simmons,en.wikipedia
2019,Blake Griffin,en.wikipedia
2019,Nikola Vučević,en.wikipedia
2019,Dwyane Wade,en.wikipedia
2019,D'Angelo Russell,en.wikipedia
2020,New Orleans Pelicans,en.wikipedia
2020,Phoenix Suns,en.wikipedia
2020,New York Knicks,en.wikipedia
2020,Memphis Grizzlies,en.wikipedia
2020,Dallas Mavericks,en.wikipedia
2020,Oklahoma City Thunder,en.wikipedia
2020,Washington Wizards,en.wikipedia
2020,Minnesota Timberwolves,en.wikipedia
2020,Detroit Pistons,en.wikipedia
2020,LeBron James,en.wikipedia
2020,Anthony Davis,en.wikipedia
2020,Kawhi Leonard,en.wikipedia
2020,Luka Dončić,en.wikipedia
2020,James Harden,en.wikipedia
2020,Damian Lillard,en.wikipedia
2020,Ben Simmons,en.wikipedia
2020,Nikola Jokić,en.wikipedia
2020,Jayson Tatum,en.wikipedia
2020,Chris Paul,en.wikipedia
2020,Russell Westbrook,en.wikipedia
2020,Domantas Sabonis,en.wikipedia
2020,Devin Booker,en.wikipedia
2021,Miami Heat,en.wikipedia
2021,New Orleans Pelicans,en.wikipedia
2021,Washington Wizards,en.wikipedia
2021,New York Knicks,en.wikipedia
2021,Denver Nuggets,en.wikipedia
2021,Memphis Grizzlies,en.wikipedia
2021,Oklahoma City Thunder,en.wikipedia
2021,Golden State Warriors,en.wikipedia
2021,Stephen Curry,en.wikipedia
2021,Luka Dončić,en.wikipedia
2021,LeBron James,en.wikipedia
2021,Kawhi Leonard,en.wikipedia
2021,Nikola Jokić,en.wikipedia
2021,Devin Booker,en.wikipedia
2021,Mike Conley,en.wikipedia
2021,Damian Lillard,en.wikipedia
2021,Donovan Mitchell,en.wikipedia
2021,Chris Paul,en.wikipedia
2021,Anthony Davis,en.wikipedia
2021,Paul George,en.wikipedia
2021,Zion Williamson,en.wikipedia
2021,Rudy Gobert,en.wikipedia
2022,Trae Young,en.wikipedia
2022,DeMar DeRozan,en.wikipedia
2022,Joel Embiid,en.wikipedia
2022,Kevin Durant,en.wikipedia
2022,Giannis Antetokounmpo,en.wikipedia
2022,LaMelo Ball,en.wikipedia
2022,Darius Garland,en.wikipedia
2022,James Harden,en.wikipedia
2022,Zach LaVine,en.wikipedia
2022,Fred VanVleet,en.wikipedia
2022,Jimmy Butler,en.wikipedia
2022,Khris Middleton,en.wikipedia
2022,Jayson Tatum,en.wikipedia
2022,Jarrett Allen,en.wikipedia
2022,Stephen Curry,en.wikipedia
2022,Ja Morant,en.wikipedia
2022,Nikola Jokić,en.wikipedia
2022,LeBron James,en.wikipedia
2022,Andrew Wiggins,en.wikipedia
2022,Devin Booker,en.wikipedia
2022,Luka Dončić,en.wikipedia
2022,Donovan Mitchell,en.wikipedia
2022,Dejounte Murray,en.wikipedia
2022,Chris Paul,en.wikipedia
2022,Draymond Green,en.wikipedia
2022,Rudy Gobert,en.wikipedia
2022,Karl-Anthony Towns,en.wikipedia
2023,Stephen Curry,en.wikipedia
2023,Luka Dončić,en.wikipedia
2023,Nikola Jokić,en.wikipedia
2023,LeBron James,en.wikipedia
2023,Zion Williamson,en.wikipedia
2023,Shai Gilgeous-Alexander,en.wikipedia
2023,Damian Lillard,en.wikipedia
2023,Ja Morant,en.wikipedia
2023,Paul George,en.wikipedia
2023,Jaren Jackson Jr.,en.wikipedia
2023,Lauri Markkanen,en.wikipedia
2023,Domantas Sabonis,en.wikipedia
2023,Anthony Edwards,en.wikipedia
2023,De'Aaron Fox,en.wikipedia
2023,Kyrie Irving,en.wikipedia
2023,Donovan Mitchell,en.wikipedia
2023,Giannis Antetokounmpo,en.wikipedia
2023,Kevin Durant,en.wikipedia
2023,Jayson Tatum,en.wikipedia
2023,Jaylen Brown,en.wikipedia
2023,DeMar DeRozan,en.wikipedia
2023,Tyrese Haliburton,en.wikipedia
2023,Jrue Holiday,en.wikipedia
2023,Julius Randle,en.wikipedia
2023,Bam Adebayo,en.wikipedia
2023,Joel Embiid,en.wikipedia
2023,Pascal Siakam,en.wikipedia
2024,Tyrese Haliburton,en.wikipedia
2024,Damian Lillard,en.wikipedia
2024,Giannis Antetokounmpo,en.wikipedia
2024,Jayson Tatum,en.wikipedia
2024,Joel Embiid,en.wikipedia
2024,Jalen Brunson,en.wikipedia
2024,Tyrese Maxey,en.wikipedia
2024,Donovan Mitchell,en.wikipedia
2024,Trae Young,en.wikipedia
2024,Paolo Banchero,en.wikipedia
2024,Scottie Barnes,en.wikipedia
2024,Jaylen Brown,en.wikipedia
2024,Julius Randle,en.wikipedia
2024,Bam Adebayo,en.wikipedia
2024,Luka Dončić,en.wikipedia
2024,Shai Gilgeous-Alexander,en.wikipedia
2024,Kevin Durant,en.wikipedia
2024,LeBron James,en.wikipedia
2024,Nikola Jokić,en.wikipedia
2024,Devin Booker,en.wikipedia
2024,Stephen Curry,en.wikipedia
2024,Anthony Edwards,en.wikipedia
2024,Paul George,en.wikipedia
2024,Kawhi Leonard,en.wikipedia
2024,Karl-Anthony Towns,en.wikipedia
2024,Anthony Davis,en.wikipedia
